gene,color,number
gene-LOC124188851,blue,3
gene-LOC124188854,blue,3
gene-LOC124188856,blue,3
gene-LOC124188861,blue,3
gene-LOC124188865,blue,3
gene-LOC124188868,blue,3
gene-LOC124188870,blue,3
gene-LOC124188873,blue,3
gene-LOC124188878,blue,3
gene-LOC124188884,blue,3
gene-LOC124188892,blue,3
gene-LOC124188897,blue,3
gene-LOC124188899,blue,3
gene-LOC124188900,blue,3
gene-LOC124188903,blue,3
gene-LOC124188904,blue,3
gene-LOC124188913,blue,3
gene-LOC124188914,blue,3
gene-LOC124188915,blue,3
gene-LOC124188916,blue,3
gene-LOC124188930,blue,3
gene-LOC124188942,blue,3
gene-LOC124188946,blue,3
gene-LOC124188948,blue,3
gene-LOC124188973,blue,3
gene-LOC124188974,blue,3
gene-LOC124188986,blue,3
gene-LOC124188996,blue,3
gene-LOC124189012,blue,3
gene-LOC124189025,blue,3
gene-LOC124189041,blue,3
gene-LOC124189046,blue,3
gene-LOC124189052,blue,3
gene-LOC124189121,blue,3
gene-LOC124189228,blue,3
gene-LOC124189291,blue,3
gene-LOC124189307,blue,3
gene-LOC124189350,blue,3
gene-LOC124189366,blue,3
gene-LOC124189418,blue,3
gene-LOC124189593,blue,3
gene-LOC124189652,blue,3
gene-LOC124189666,blue,3
gene-LOC124189667,blue,3
gene-LOC124189683,blue,3
gene-LOC124189684,blue,3
gene-LOC124189689,blue,3
gene-LOC124189694,blue,3
gene-LOC124189700,blue,3
gene-LOC124189706,blue,3
gene-LOC124189708,blue,3
gene-LOC124189711,blue,3
gene-LOC124189725,blue,3
gene-LOC124189726,blue,3
gene-LOC124189731,blue,3
gene-LOC124189732,blue,3
gene-LOC124189733,blue,3
gene-LOC124189735,blue,3
gene-LOC124189737,blue,3
gene-LOC124189745,blue,3
gene-LOC124189751,blue,3
gene-LOC124189753,blue,3
gene-LOC124189770,blue,3
gene-LOC124189773,blue,3
gene-LOC124189775,blue,3
gene-LOC124189777,blue,3
gene-LOC124189788,blue,3
gene-LOC124189800,blue,3
gene-LOC124189808,blue,3
gene-LOC124189816,blue,3
gene-LOC124189826,blue,3
gene-LOC124188285,brown,4
gene-LOC124188305,brown,4
gene-LOC124188308,brown,4
gene-LOC124188309,brown,4
gene-LOC124188324,brown,4
gene-LOC124188328,brown,4
gene-LOC124188334,brown,4
gene-LOC124188356,brown,4
gene-LOC124188357,brown,4
gene-LOC124188358,brown,4
gene-LOC124188360,brown,4
gene-LOC124188397,brown,4
gene-LOC124188402,brown,4
gene-LOC124188410,brown,4
gene-LOC124188412,brown,4
gene-LOC124188413,brown,4
gene-LOC124188423,brown,4
gene-LOC124188456,brown,4
gene-LOC124188470,brown,4
gene-LOC124188484,brown,4
gene-LOC124188487,brown,4
