LOC124196291	GO:0050850,GO:0000293,GO:0005509,GO:0030728,GO:0016021,GO:0005886,GO:0033215,GO:0045987
LOC124210456	GO:0005887,GO:0007218,GO:0004983
LOC124191195	GO:0005634,GO:0003723,GO:0031119,GO:0005737,GO:0009982,GO:1990481
LOC124191117	GO:0000151,GO:0005783,GO:0005829,GO:0016021,GO:0043130,GO:0046872,GO:0061630,GO:0006511,GO:0030968,GO:0070936
LOC124197928	GO:0042734,GO:0005634,GO:0048791,GO:0042391,GO:0007165,GO:0048167,GO:0050806,GO:0031267,GO:0048788,GO:0044325
LOC124207561	GO:0005615,GO:0016021,GO:0004867,GO:0005515,GO:0010951
LOC124190123	GO:1902936
LOC124190056	GO:0005525,GO:0030031,GO:0003925,GO:0032488,GO:0006897,GO:0016477,GO:0005886
LOC124208677	GO:0004553,GO:0005975
LOC124202197	GO:0016021,GO:0016853
LOC124202122	GO:0005581,GO:0005604,GO:0005615,GO:0016020,GO:0005201,GO:0030198
LOC124202036	GO:0005581,GO:0005604,GO:0016021,GO:0005201
LOC124206112	GO:0042910,GO:0051610,GO:0055085,GO:0043195,GO:0016021,GO:0042908,GO:0030672,GO:0005335,GO:0015842
LOC124200393	GO:0005759,GO:0009055,GO:0050660,GO:0009887,GO:0022900,GO:0031998,GO:0033539,GO:0070584
LOC124200404	GO:0005576,GO:0008061,GO:0008233,GO:0008152
LOC124195545	GO:0005634,GO:0030182,GO:0046872,GO:0000977,GO:0000981,GO:0006357
LOC124195548	GO:0005634,GO:0048665,GO:0046872,GO:0007409,GO:0000977,GO:0000987,GO:0000981,GO:0006357
LOC124195565	GO:0005925,GO:0030424,GO:0019903,GO:0035591,GO:0007185,GO:0007409
LOC124195609	GO:0016600,GO:0031410,GO:0002090,GO:0045807,GO:0070528,GO:0072659,GO:1901890,GO:2000049
LOC124195602	GO:0016021
LOC124195622	GO:0016539,GO:0007267,GO:0007224,GO:0007367,GO:0009653,GO:0008233,GO:0005113,GO:0005886,GO:0005615,GO:0005509,GO:0010468,GO:0016021,GO:0016540,GO:0001708,GO:0016015
LOC124195627	GO:0030245,GO:0008810
LOC124192615	GO:0005697,GO:0003697,GO:0008310,GO:0042162,GO:0070034,GO:0000184,GO:0000712,GO:0090305
LOC124195631	GO:0016021,GO:0005509,GO:0005515,GO:0006897
LOC124195763	GO:0008934,GO:0046872,GO:0052832,GO:0052833,GO:0006021,GO:0007165,GO:0046854,GO:0046855
LOC124195688	GO:0005887,GO:0035725,GO:0015280
LOC124195711	GO:0004553,GO:0005975
LOC124195750	GO:0030245,GO:0008810
LOC124195643	GO:0003723,GO:0004386,GO:0005524,GO:0016740,GO:0046872,GO:0000184
LOC124195669	GO:0000776,GO:0005819,GO:0005929,GO:0030496,GO:0031105,GO:0032154,GO:0005525
LOC124195757	GO:0005634,GO:0003677
LOC124195768	GO:0005840,GO:0003735,GO:0004463,GO:0006412
LOC124195662	GO:0005634
LOC124195794	GO:0005615,GO:0031012,GO:0050839,GO:0007155,GO:0030198
LOC124195838	GO:0005085,GO:0005515,GO:0007264,GO:0050790
LOC124195845	GO:0005634,GO:0000981,GO:0043565,GO:0006357
LOC124195877	GO:0000978,GO:0000981,GO:0006357
LOC124195917	GO:0008528,GO:0016021,GO:0007166,GO:0007188,GO:0005886
LOC124195911	GO:0005634,GO:0000151,GO:0005737,GO:0000209,GO:0034450,GO:0030433
LOC124195964	GO:0005634,GO:0000978,GO:0001228,GO:0045944
LOC124195980	GO:0003723,GO:0003735,GO:0002181,GO:0005840
LOC124195973	GO:0005829,GO:1990745,GO:0000149,GO:0032456,GO:0042147
LOC124193909	GO:0005737,GO:0005524,GO:0016887
LOC124193934	GO:0006627,GO:0004252,GO:0016021,GO:0006465,GO:0005576,GO:0005179,GO:0042720
LOC124198150	GO:0043231,GO:0003824
LOC124198168	GO:0005634,GO:0005737,GO:0000298,GO:0008486,GO:0034431,GO:0034432,GO:0050072,GO:0071543,GO:1901907,GO:1901909,GO:1901911
LOC124198157	GO:0071805,GO:0016021,GO:0005267
LOC124198133	GO:0003676,GO:0015074
LOC124205981	GO:0005615,GO:0031012,GO:0050839,GO:0007155,GO:0030198
LOC124200592	GO:0006406,GO:0003729,GO:0006397,GO:0000445
LOC124205696	GO:0003735,GO:0002181,GO:0017022,GO:0022625,GO:0070180
LOC124195447	GO:0005634,GO:0030182,GO:0000978,GO:0000981,GO:0006357
LOC124195375	GO:0005634,GO:0030182,GO:0000978,GO:0000981,GO:0006357
LOC124188378	GO:0005854,GO:0051082,GO:0006612
LOC124188310	GO:0016021
LOC124188541	GO:0016021
LOC124207201	GO:0005634,GO:0005737,GO:0000287,GO:0043715,GO:0043716,GO:0043874,GO:0016311,GO:0019284,GO:0019509
LOC124193741	GO:0005634,GO:0010997,GO:0007095,GO:0032147,GO:0033314
LOC124193759	GO:0005975,GO:0016021,GO:0016798
LOC124193770	GO:0016021,GO:0006865,GO:1902616,GO:0015227
LOC124193749	GO:0000122,GO:0005634,GO:0030182,GO:0017053,GO:0000978,GO:0001227,GO:0010564
LOC124203633	GO:0000502,GO:0005634,GO:0005829,GO:0016021,GO:0043248
LOC124204862	GO:0005765,GO:0005886,GO:0016021,GO:0030670,GO:0031902,GO:0034597,GO:0046856
LOC124203004	GO:0005524,GO:0043408,GO:0005737,GO:0048812,GO:0032147,GO:0004674
LOC124192625	GO:0003700,GO:0035591,GO:0006357,GO:0007165
