gene,color,number
Tcas001265,blue,2
Tcas000602,blue,2
Tcas000308,blue,2
Tcas000394,blue,2
Tcas001454,blue,2
Tcas001533,blue,2
Tcas000774,blue,2
Tcas000696,blue,2
Tcas001528,blue,2
Tcas000838,blue,2
Tcas000224,blue,2
Tcas001164,blue,2
Tcas000695,blue,2
Tcas001605,blue,2
Tcas000868,blue,2
Tcas000259,blue,2
Tcas000777,blue,2
Tcas001182,blue,2
Tcas000210,blue,2
Tcas000502,blue,2
Tcas000879,blue,2
Tcas001595,blue,2
Tcas001072,blue,2
Tcas001616,blue,2
Tcas000647,blue,2
Tcas001545,blue,2
Tcas001055,blue,2
Tcas001622,blue,2
Tcas001191,blue,2
Tcas001715,blue,2
Tcas000998,blue,2
Tcas000982,blue,2
Tcas000309,blue,2
Tcas000389,blue,2
Tcas000195,blue,2
Tcas001207,blue,2
Tcas001100,blue,2
Tcas001604,blue,2
Tcas000372,blue,2
Tcas001471,blue,2
Tcas000247,blue,2
Tcas001287,blue,2
Tcas000331,blue,2
Tcas001160,blue,2
Tcas000466,blue,2
Tcas001738,blue,2
Tcas001489,blue,2
Tcas001602,blue,2
Tcas000591,blue,2
Tcas001633,blue,2
Tcas001502,blue,2
Tcas001161,blue,2
Tcas000652,blue,2
Tcas000506,blue,2
Tcas000245,blue,2
Tcas001305,blue,2
Tcas000689,blue,2
Tcas000663,blue,2
Tcas001683,blue,2
Tcas000153,blue,2
Tcas001186,blue,2
Tcas001366,blue,2
Tcas001087,blue,2
Tcas000350,blue,2
Tcas000616,blue,2
Tcas000285,blue,2
Tcas000491,blue,2
Tcas001436,blue,2
Tcas000453,blue,2
Tcas000187,blue,2
Tcas000265,blue,2
Tcas001447,blue,2
Tcas000961,blue,2
Tcas000733,blue,2
Tcas001032,blue,2
Tcas000136,blue,2
Tcas001501,blue,2
Tcas000121,blue,2
Tcas000447,blue,2
Tcas001067,blue,2
Tcas000368,blue,2
Tcas000211,blue,2
Tcas001480,blue,2
Tcas001040,blue,2
Tcas000840,blue,2
Tcas000808,blue,2
Tcas001058,blue,2
Tcas001272,blue,2
Tcas000950,blue,2
Tcas000129,blue,2
Tcas000451,blue,2
Tcas000742,blue,2
Tcas001558,blue,2
Tcas000683,blue,2
Tcas000679,blue,2
Tcas001266,blue,2
Tcas001439,blue,2
Tcas001535,blue,2
Tcas000902,blue,2
Tcas000729,blue,2
Tcas001585,blue,2
Tcas000863,blue,2
Tcas001296,blue,2
Tcas001570,blue,2
Tcas000940,blue,2
Tcas001151,blue,2
Tcas000703,blue,2
Tcas001128,blue,2
Tcas000378,blue,2
Tcas001741,blue,2
Tcas001742,blue,2
Tcas001744,blue,2
Tcas001747,blue,2
Tcas001748,blue,2
Tcas001749,blue,2
Tcas001751,blue,2
Tcas001755,blue,2
Tcas001754,blue,2
Tcas001762,blue,2
Tcas001770,blue,2
Tcas001775,blue,2
Tcas001768,blue,2
Tcas001772,blue,2
Tcas001777,blue,2
Tcas001935,blue,2
Tcas002091,blue,2
Tcas001993,blue,2
Tcas001969,blue,2
Tcas001959,blue,2
Tcas002370,blue,2
Tcas001813,blue,2
Tcas002197,blue,2
Tcas002144,blue,2
Tcas002248,blue,2
Tcas002303,blue,2
Tcas001785,blue,2
Tcas002024,blue,2
Tcas001788,blue,2
Tcas002136,blue,2
Tcas002324,blue,2
Tcas001877,blue,2
Tcas002102,blue,2
Tcas002097,blue,2
Tcas002107,blue,2
Tcas002300,blue,2
Tcas001798,blue,2
Tcas002149,blue,2
Tcas001948,blue,2
Tcas002047,blue,2
Tcas002343,blue,2
Tcas002227,blue,2
Tcas002256,blue,2
Tcas001917,blue,2
Tcas001965,blue,2
Tcas001875,blue,2
Tcas001862,blue,2
Tcas001906,blue,2
Tcas002257,blue,2
Tcas002085,blue,2
Tcas002066,blue,2
Tcas002364,blue,2
Tcas002399,blue,2
Tcas002103,blue,2
Tcas002182,blue,2
Tcas002213,blue,2
Tcas001846,blue,2
Tcas002019,blue,2
Tcas001853,blue,2
Tcas002118,blue,2
Tcas002225,blue,2
Tcas001819,blue,2
Tcas002302,blue,2
Tcas002270,blue,2
Tcas001900,blue,2
Tcas002138,blue,2
Tcas002101,blue,2
Tcas002141,blue,2
Tcas002055,blue,2
Tcas001856,blue,2
Tcas002363,blue,2
Tcas001789,blue,2
Tcas002142,blue,2
Tcas002129,blue,2
Tcas001860,blue,2
Tcas001925,blue,2
Tcas002223,blue,2
Tcas002342,blue,2
Tcas001821,blue,2
Tcas001987,blue,2
Tcas002390,blue,2
Tcas002341,blue,2
Tcas002420,blue,2
Tcas002220,blue,2
Tcas002280,blue,2
Tcas001950,blue,2
Tcas001996,blue,2
Tcas002352,blue,2
Tcas002187,blue,2
Tcas001956,blue,2
Tcas000009,turquoise,3
Tcas000029,turquoise,3
Tcas000021,turquoise,3
Tcas000002,turquoise,3
Tcas000025,turquoise,3
Tcas000013,turquoise,3
Tcas000032,turquoise,3
Tcas000028,turquoise,3
Tcas000004,turquoise,3
Tcas000035,turquoise,3
